journal,title,year,doi,url,has_keyword
Scientometrics,The scientometrics and reciprocality underlying co-authorship panels in Google Scholar profiles,2024,https://doi.org/10.1007/s11192-024-05026-y,https://openalex.org/W4399044877,True
Scientometrics,Using word embedding to detect keywords in texts modeled as complex networks,2024,https://doi.org/10.1007/s11192-024-05055-7,https://openalex.org/W4399471897,True
Scientometrics,Women’s strength in science: exploring the influence of female participation on research impact and innovation,2024,https://doi.org/10.1007/s11192-024-05089-x,https://openalex.org/W4400136398,True
Scientometrics,Exploring the influence of factors causing stress among doctoral students by combining fuzzy DEMATEL-ANP with a triangular approach,2024,https://doi.org/10.1007/s11192-024-05108-x,https://openalex.org/W4400867609,True
Scientometrics,Exploiting word embedding for heterogeneous topic model towards patent recommendation,2020,https://doi.org/10.1007/s11192-020-03666-4,https://openalex.org/W3062383798,True
Scientometrics,Developing a risk-adaptive technology roadmap using a Bayesian network and topic modeling under deep uncertainty,2021,https://doi.org/10.1007/s11192-021-03945-8,https://openalex.org/W3137822262,True
Scientometrics,"Societal impact of university research in the written press: media attention in the context of SIUR and the open science agenda among social scientists in Flanders, Belgium",2022,https://doi.org/10.1007/s11192-022-04374-x,https://openalex.org/W4224951325,True
Scientometrics,Discovering temporal scientometric knowledge in COVID-19 scholarly production,2022,https://doi.org/10.1007/s11192-021-04260-y,https://openalex.org/W4205852026,True
Scientometrics,Organization-oriented technology opportunities analysis based on predicting patent networks: a case of Alzheimer’s disease,2022,https://doi.org/10.1007/s11192-021-04219-z,https://openalex.org/W4205942527,True
Scientometrics,Why was this cited? Explainable machine learning applied to COVID-19 research literature,2022,https://doi.org/10.1007/s11192-022-04314-9,https://openalex.org/W4224285714,True
Scientometrics,Exploring the antecedents of interdisciplinarity at the European Research Council: a topic modeling approach,2022,https://doi.org/10.1007/s11192-022-04368-9,https://openalex.org/W4293238168,True
Scientometrics,A comparative analysis of local similarity metrics and machine learning approaches: application to link prediction in author citation networks,2022,https://doi.org/10.1007/s11192-022-04484-6,https://openalex.org/W4297272069,True
Scientometrics,An embedding approach for analyzing the evolution of research topics with a case study on computer science subdomains,2023,https://doi.org/10.1007/s11192-023-04642-4,https://openalex.org/W4318592270,True
Scientometrics,"Biases in scholarly recommender systems: impact, prevalence, and mitigation",2023,https://doi.org/10.1007/s11192-023-04636-2,https://openalex.org/W4328127920,True
Scientometrics,How can policy document mentions to scholarly papers be interpreted? An analysis of the underlying mentioning process,2023,https://doi.org/10.1007/s11192-023-04826-y,https://openalex.org/W4387425145,True
Scientometrics,CFMf topic-model: comparison with LDA and Top2Vec,2024,https://doi.org/10.1007/s11192-024-05017-z,https://openalex.org/W4396237870,True
Scientometrics,Exploring technology fusion by combining latent Dirichlet allocation with Doc2vec: a case of digital medicine and machine learning,2024,https://doi.org/10.1007/s11192-024-05069-1,https://openalex.org/W4399677130,True
Scientometrics,Knowledge convergence and organization innovation: the moderating role of relational embeddedness,2020,https://doi.org/10.1007/s11192-020-03684-2,https://openalex.org/W3082223228,True
Scientometrics,Does research collaboration influence the “disruption” of articles? Evidence from neurosciences,2020,https://doi.org/10.1007/s11192-020-03757-2,https://openalex.org/W3095343655,True
Scientometrics,Scholarly literature mining with information retrieval and natural language processing: Preface,2020,https://doi.org/10.1007/s11192-020-03763-4,https://openalex.org/W3099070320,True
Scientometrics,Ranking of author assessment parameters using Logistic Regression,2020,https://doi.org/10.1007/s11192-020-03769-y,https://openalex.org/W3104696479,True
Scientometrics,Early detection of technology opportunity based on analogy design and phrase semantic representation,2020,https://doi.org/10.1007/s11192-020-03641-z,https://openalex.org/W3047241372,True
Scientometrics,Early identification of technological convergence in numerical control machine tool: a deep learning approach,2020,https://doi.org/10.1007/s11192-020-03696-y,https://openalex.org/W3085321109,True
Scientometrics,"Temporal evolution, most influential studies and sleeping beauties of the coronavirus literature",2021,https://doi.org/10.1007/s11192-021-04036-4,https://openalex.org/W3173438655,True
Scientometrics,Identifying emerging technologies using expert opinions on the future: A topic modeling and fuzzy clustering approach,2021,https://doi.org/10.1007/s11192-021-04024-8,https://openalex.org/W3174413045,True
Scientometrics,Semantic and relational spaces in science of science: deep learning models for article vectorisation,2021,https://doi.org/10.1007/s11192-021-03984-1,https://openalex.org/W3094800999,True
Scientometrics,Research topic flows in co-authorship networks,2022,https://doi.org/10.1007/s11192-022-04529-w,https://openalex.org/W4304187768,True
Scientometrics,Measuring h-index and scholarly productivity in academic dermatology in Canada,2022,https://doi.org/10.1007/s11192-022-04589-y,https://openalex.org/W4311812368,True
Scientometrics,Does the journal impact factor reflect the impact of German medical guideline contributions?,2023,https://doi.org/10.1007/s11192-023-04647-z,https://openalex.org/W4319158562,True
Scientometrics,Analyzing the influence of prolific collaborations on authors productivity and visibility,2023,https://doi.org/10.1007/s11192-023-04669-7,https://openalex.org/W4323364208,True
Scientometrics,Alphabetic order of authors in scholarly publications: a bibliometric study for 27 scientific fields,2020,https://doi.org/10.1007/s11192-020-03686-0,https://openalex.org/W3081754577,True
Scientometrics,Identifying collaboration dynamics of bipartite author-topic networks with the influences of interest changes,2020,https://doi.org/10.1007/s11192-019-03342-2,https://openalex.org/W2999289032,True
Scientometrics,Cross-country learning from patents: an analysis of citations flows in innovation trajectories,2021,https://doi.org/10.1007/s11192-021-04094-8,https://openalex.org/W3179712285,True
Scientometrics,The influence of academic advisors on academic network of Physics doctoral students: empirical evidence based on scientometrics analysis,2021,https://doi.org/10.1007/s11192-021-03974-3,https://openalex.org/W3158597642,True
Scientometrics,The influence of opening up peer review on the citations of journal articles,2021,https://doi.org/10.1007/s11192-021-04182-9,https://openalex.org/W3210250179,True
Scientometrics,Unpacking research lock-in through a diachronic analysis of topic cluster trajectories in scholarly publications,2022,https://doi.org/10.1007/s11192-022-04514-3,https://openalex.org/W4297370052,True
Scientometrics,Global science and the muslim world: overview of muslim-majority country contributions to global science,2022,https://doi.org/10.1007/s11192-022-04517-0,https://openalex.org/W4297513509,True
Scientometrics,ResGAT: an improved graph neural network based on multi-head attention mechanism and residual network for paper classification,2024,https://doi.org/10.1007/s11192-023-04898-w,https://openalex.org/W4390701219,True
Scientometrics,Influence of cultural and socioeconomic factors on scientific production: a statistical analysis of the h-index,2024,https://doi.org/10.1007/s11192-024-04965-w,https://openalex.org/W4392657758,True
Scientometrics,Impact of transition of medical journals from print to online-only on their scholarly performance,2024,https://doi.org/10.1007/s11192-024-04998-1,https://openalex.org/W4394929835,True
Scientometrics,"Influence of political tensions on scientific productivity, citation impact, and knowledge combinations",2024,https://doi.org/10.1007/s11192-024-04973-w,https://openalex.org/W4395043958,True
